Account Transactions
Cleaned
Date Range: 2023-01-01 to 2023-12-31
Accrual (Paid & Unpaid)
ACCOUNT NUMBER,DATE,DESCRIPTION,DEBIT (In Business Currency),CREDIT (In Business Currency),BALANCE (In Business Currency)
,124303120,,,,
Starting Balance,,,,,$0.00
Greendot,2023-07-11,BBLGB - Payment for Invoice #566,"$41,325,000,000,000.00",,"$41,325,000,000,000.00"
Greendot,2023-07-14,Write a Description,"$98,750,000,000.00",,"$41,423,750,000,000.00"
Greendot,2023-07-15,Dennis j Robertson - Payment for Invoice #579,"$408,825,000,000,000.00",,"$450,248,750,000,000.00"
Greendot,2023-07-16,Created Transfer,,"$19,000,000,000,000,000.00","-$18,549,751,250,000,000.00"
Greendot,2023-07-20,Dennis j Robertson - Payment for Invoice #595,"$408,825,000,000,000.00",,"-$18,140,926,250,000,000.00"
Greendot,2023-07-25,Dennis j Robertson - Payment for Invoice #597,"$408,825,000,000,000.00",,"-$17,732,101,250,000,000.00"
Greendot,2023-08-02,Dennis j Robertson - Payment for Invoice #612,"$45,214,470,000,000,000.00",,"$27,482,368,750,000,000.00"
Totals and Ending Balance,,,"$46,482,368,750,000,000.00","$19,000,000,000,000,000.00","$27,482,368,750,000,000.00"
Balance Change,,,"$27,482,368,750,000,000.00",,
""
,685365855,,,,
Starting Balance,,,,,$0.00
Tdbank,2023-01-01,Write a Description,"$9,875,440,000,000.00",,"$9,875,440,000,000.00"
Tdbank,2023-02-05,Write a Description,"$18,699,000,000.00",,"$9,894,139,000,000.00"
Tdbank,2023-02-06,Write a Description,"$902,055,210,755,439,984,640.00",,"$902,055,220,649,578,984,640.00"
Tdbank,2023-02-13,Direct deposit to the bank account ,"$9,800,000,000,000,780.00",,"$902,065,020,649,578,985,420.00"
Tdbank,2023-02-13,Write a Description,"$978,400,000,000,000,000,000,000,000,000,000,000.00",,"$978,400,000,000,000,902,065,020,649,578,985,420.00"
Tdbank,2023-02-13,Write a Description,"$978,400,000,000,000,000.00",,"$978,400,000,000,000,903,043,420,649,578,985,420.00"
Tdbank,2023-02-13,Write a Description,"$900,080,000,879,999,975,424.00",,"$978,400,000,000,001,803,123,421,529,578,960,844.00"
Tdbank,2023-02-13,Write a Description,"$987,000,000,000,008,832.00",,"$978,400,000,000,001,804,110,421,529,578,969,676.00"
Tdbank,2023-02-13,Write a Description,"$90,000,000.00",,"$978,400,000,000,001,804,110,421,529,668,969,676.00"
Tdbank,2023-02-13,Write a Description,"$90,000,000,000,000.00",,"$978,400,000,000,001,804,110,511,529,668,969,676.00"
Tdbank,2023-07-11,Dennis j Robertson - Payment for Invoice #4,"$45,214,470,000,000,000.00",,"$978,400,000,000,001,804,155,725,999,668,969,676.00"
Tdbank,2023-07-13,Dennis j Robertson - Payment for Invoice #573,"$408,825,000,000,000.00",,"$978,400,000,000,001,804,156,134,824,668,969,676.00"
Tdbank,2023-07-13,Dennis j Robertson - Payment for Invoice #572,"$45,214,470,000,000,000.00",,"$978,400,000,000,001,804,201,349,294,668,969,676.00"
Tdbank,2023-07-14,Bestlife - Payment for Invoice #580,"$80,275,815,000,000,000.00",,"$978,400,000,000,001,804,281,625,109,668,969,676.00"
Tdbank,2023-07-14,Bestlife - Payment for Invoice #581,"$80,275,815,000,000,000.00",,"$978,400,000,000,001,804,361,900,924,668,969,676.00"
Tdbank,2023-07-15,Dennis j Robertson - Payment for Invoice #578,"$45,214,371,250,000,000.00",,"$978,400,000,000,001,804,407,115,295,918,969,676.00"
Tdbank,2023-07-15,Dennis j Robertson - Payment for Invoice #585,"$7,990,290,000,000,000.00",,"$978,400,000,000,001,804,415,105,585,918,969,676.00"
Tdbank,2023-07-15,Created Transfer,,"$78,450,000,000.00","$978,400,000,000,001,804,415,105,507,468,969,676.00"
Tdbank,2023-07-16,Bill #0332 | Payment to Larry's bike ahop,"$19,000,000,000,000,000.00",,"$978,400,000,000,001,804,434,105,507,468,969,676.00"
Tdbank,2023-07-19,Dennis j Robertson - Payment for Invoice #593,"$408,825,000,000,000.00",,"$978,400,000,000,001,804,434,514,332,468,969,676.00"
Tdbank,2023-07-19,Created Transfer,"$90,099,009,900.00",,"$978,400,000,000,001,804,434,514,422,567,979,576.00"
Tdbank,2023-07-19,Write a Description,"$90,000,000,000.00",,"$978,400,000,000,001,804,434,514,512,567,979,576.00"
Tdbank,2023-08-02,Dennis j Robertson - Payment for Invoice #609,"$408,825,000,000,000.00",,"$978,400,000,000,001,804,434,923,337,567,979,576.00"
Tdbank,2023-08-02,Dennis j Robertson - Payment for Invoice #616,"$45,214,470,000,000,000.00",,"$978,400,000,000,001,804,480,137,807,567,979,576.00"
Totals and Ending Balance,,,"$978,400,000,000,001,804,480,137,886,017,979,576.00","$78,450,000,000.00","$978,400,000,000,001,804,480,137,807,567,979,576.00"
Balance Change,,,"$978,400,000,000,001,804,480,137,807,567,979,576.00",,
""
,Cash on Hand,,,,
Starting Balance,,,,,$0.00
,2023-07-11,Dennis j Robertson - Payment for Invoice #564,"$3,900,000,000,000.00",,"$3,900,000,000,000.00"
